run_id,condition,vuln_id,detected
Aprime1,Aprime,V11,1
Aprime1,Aprime,V12,0
Aprime1,Aprime,V13,0
Aprime1,Aprime,V14,0
Aprime1,Aprime,V15,0
Aprime1,Aprime,V16,0
Aprime1,Aprime,V17,0
Aprime1,Aprime,V18,1
Aprime2,Aprime,V1,1
Aprime2,Aprime,V2,1
Aprime2,Aprime,V3,1
Aprime2,Aprime,V4,0
Aprime2,Aprime,V5,0
Aprime2,Aprime,V6,1
Aprime2,Aprime,V7,0
Aprime2,Aprime,V8,0
Aprime2,Aprime,V9,1
Aprime2,Aprime,V10,0
Aprime2,Aprime,V11,1
Aprime2,Aprime,V12,1
Aprime2,Aprime,V13,0
Aprime2,Aprime,V14,0
Aprime2,Aprime,V15,1
Aprime2,Aprime,V16,0
Aprime2,Aprime,V17,0
Aprime2,Aprime,V18,1
Aprime3,Aprime,V1,1
Aprime3,Aprime,V2,1
Aprime3,Aprime,V3,1
Aprime3,Aprime,V4,0
Aprime3,Aprime,V5,0
Aprime3,Aprime,V6,1
Aprime3,Aprime,V7,0
Aprime3,Aprime,V8,0
Aprime3,Aprime,V9,1
Aprime3,Aprime,V10,0
Aprime3,Aprime,V11,1
Aprime3,Aprime,V12,0
Aprime3,Aprime,V13,0
Aprime3,Aprime,V14,0
Aprime3,Aprime,V15,0
Aprime3,Aprime,V16,0
Aprime3,Aprime,V17,1
Aprime3,Aprime,V18,1
Aprime4,Aprime,V1,1
Aprime4,Aprime,V2,1
Aprime4,Aprime,V3,0
Aprime4,Aprime,V4,0
Aprime4,Aprime,V5,0
Aprime4,Aprime,V6,1
Aprime4,Aprime,V7,1
Aprime4,Aprime,V8,0
Aprime4,Aprime,V9,1
Aprime4,Aprime,V10,0
Aprime4,Aprime,V11,1
Aprime4,Aprime,V12,1
Aprime4,Aprime,V13,0
Aprime4,Aprime,V14,0
Aprime4,Aprime,V15,0
Aprime4,Aprime,V16,0
Aprime4,Aprime,V17,0
Aprime4,Aprime,V18,0
Aprime5,Aprime,V1,1
Aprime5,Aprime,V2,1
Aprime5,Aprime,V3,1
Aprime5,Aprime,V4,0
Aprime5,Aprime,V5,0
Aprime5,Aprime,V6,1
Aprime5,Aprime,V7,1
Aprime5,Aprime,V8,0
Aprime5,Aprime,V9,1
Aprime5,Aprime,V10,0
Aprime5,Aprime,V11,1
Aprime5,Aprime,V12,0
Aprime5,Aprime,V13,0
Aprime5,Aprime,V14,0
Aprime5,Aprime,V15,0
Aprime5,Aprime,V16,0
Aprime5,Aprime,V17,0
Aprime5,Aprime,V18,0
B1,B,V1,1
B1,B,V2,1
B1,B,V3,1
B1,B,V4,1
B1,B,V5,0
B1,B,V6,1
B1,B,V7,1
B1,B,V8,0
B1,B,V9,1
B1,B,V10,0
B1,B,V11,1
B1,B,V12,0
B1,B,V13,0
B1,B,V14,0
B1,B,V15,0
B1,B,V16,0
B1,B,V17,0
B1,B,V18,0
B2,B,V1,1
B2,B,V2,1
B2,B,V3,1
B2,B,V4,1
B2,B,V5,0
B2,B,V6,1
B2,B,V7,1
B2,B,V8,0
B2,B,V9,1
B2,B,V10,0
B2,B,V11,1
B2,B,V12,0
B2,B,V13,0
B2,B,V14,0
B2,B,V15,1
B2,B,V16,1
B2,B,V17,0
B2,B,V18,1
B3,B,V1,1
B3,B,V2,1
B3,B,V3,1
B3,B,V4,1
B3,B,V5,0
B3,B,V6,1
B3,B,V7,1
B3,B,V8,0
B3,B,V9,1
B3,B,V10,0
B3,B,V11,1
B3,B,V12,0
B3,B,V13,0
B3,B,V14,0
B3,B,V15,0
B3,B,V16,0
B3,B,V17,0
B3,B,V18,0
B4,B,V1,0
B4,B,V2,1
B4,B,V3,1
B4,B,V4,1
B4,B,V5,0
B4,B,V6,0
B4,B,V7,0
B4,B,V8,0
B4,B,V9,1
B4,B,V10,0
B4,B,V11,1
B4,B,V12,0
B4,B,V13,0
B4,B,V14,0
B4,B,V15,1
B4,B,V16,0
B4,B,V17,0
B4,B,V18,1
B5,B,V1,0
B5,B,V2,1
B5,B,V3,1
B5,B,V4,0
B5,B,V5,0
B5,B,V6,1
B5,B,V7,1
B5,B,V8,0
B5,B,V9,1
B5,B,V10,0
B5,B,V11,1
B5,B,V12,0
B5,B,V13,0
B5,B,V14,0
B5,B,V15,0
B5,B,V16,0
B5,B,V17,0
B5,B,V18,1
C1,C,V1,1
C1,C,V2,1
C1,C,V3,1
C1,C,V4,1
C1,C,V5,0
C1,C,V6,1
C1,C,V7,1
C1,C,V8,0
C1,C,V9,1
C1,C,V10,0
C1,C,V11,1
C1,C,V12,1
C1,C,V13,1
C1,C,V14,1
C1,C,V15,0
C1,C,V16,1
C1,C,V17,1
C1,C,V18,1
C2,C,V1,1
C2,C,V2,1
C2,C,V3,0
C2,C,V4,1
C2,C,V5,0
C2,C,V6,1
C2,C,V7,1
C2,C,V8,0
C2,C,V9,1
C2,C,V10,1
C2,C,V11,1
C2,C,V12,1
C2,C,V13,1
C2,C,V14,1
C2,C,V15,1
C2,C,V16,1
C2,C,V17,1
C2,C,V18,0
C3,C,V1,1
C3,C,V2,1
C3,C,V3,1
C3,C,V4,1
C3,C,V5,0
C3,C,V6,1
C3,C,V7,1
C3,C,V8,0
C3,C,V9,1
C3,C,V10,0
C3,C,V11,1
C3,C,V12,0
C3,C,V13,0
C3,C,V14,1
C3,C,V15,0
C3,C,V16,1
C3,C,V17,1
C3,C,V18,0
C4,C,V1,1
C4,C,V2,1
C4,C,V3,1
C4,C,V4,1
C4,C,V5,0
C4,C,V6,1
C4,C,V7,0
C4,C,V8,1
C4,C,V9,1
C4,C,V10,0
C4,C,V11,1
C4,C,V12,1
C4,C,V13,1
C4,C,V14,1
C4,C,V15,0
C4,C,V16,1
C4,C,V17,1
C4,C,V18,1
C5,C,V1,1
C5,C,V2,1
C5,C,V3,1
C5,C,V4,1
C5,C,V5,0
C5,C,V6,1
C5,C,V7,1
C5,C,V8,0
C5,C,V9,1
C5,C,V10,0
C5,C,V11,1
C5,C,V12,1
C5,C,V13,0
C5,C,V14,1
C5,C,V15,0
C5,C,V16,1
C5,C,V17,1
C5,C,V18,1
